StichtagDatJahr,QuarSort,QuarCd,QuarLang,KreisSort,WegOrtSort,WegOrtLang,WegBezirkSort,WegBezirkLang,WegKtSort,WegKtLang,WegLandSort,WegLandLang,WegRegionSort,WegRegionLang,WegKontinentSort,WegKontinentLang,AnzWezuWir
2014,111,111,"Affoltern",11,4081,"Widen",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,115,115,"Oerlikon",11,4289,"Zofingen",1910,"Bezirk Zofingen",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,81,081,"Seefeld",8,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",37
2014,101,101,"Höngg",10,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,91,091,"Albisrieden",9,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",9
2014,83,083,"Weinegg",8,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,91,091,"Albisrieden",9,2939,"Schaffhausen",1403,"Bezirk Schaffhausen",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,83,083,"Weinegg",8,2939,"Schaffhausen",1403,"Bezirk Schaffhausen",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,52,052,"Escher Wyss",5,1323,"Wollerau",503,"Bezirk Höfe",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,21,021,"Wollishofen",2,69,"Wallisellen",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,74,074,"Witikon",7,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,63,063,"Oberstrass",6,118,"Rüti (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,73,073,"Hirslanden",7,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,31,031,"Alt-Wiedikon",3,3298,"Walenstadt",1725,"Wahlkreis Sarganserland",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,101,101,"Höngg",10,69,"Wallisellen",103,"Bezirk Bülach",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",8
2014,71,071,"Fluntern",7,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,102,102,"Wipkingen",10,4262,"Wegenstetten",1909,"Bezirk Rheinfelden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,31,031,"Alt-Wiedikon",3,4081,"Widen",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,92,092,"Altstetten",9,632,"Wichtrach",246,"Verwaltungskreis Bern-Mittelland",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,44,044,"Hard",4,2586,"Wangen bei Olten",1108,"Bezirk Olten",11,"Solothurn",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,92,092,"Altstetten",9,4075,"Rudolfstetten-Friedlisberg",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,61,061,"Unterstrass",6,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",15
2014,52,052,"Escher Wyss",5,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,119,119,"Seebach",11,992,"Wangen an der Aare",244,"Verwaltungskreis Oberaargau",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,121,121,"Saatlen",12,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,101,101,"Höngg",10,97,"Rümlang",104,"Bezirk Dielsdorf",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,44,044,"Hard",4,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,123,123,"Hirzenbach",12,230,"Winterthur",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",19
2014,52,052,"Escher Wyss",5,139,"Rüschlikon",106,"Bezirk Horgen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,115,115,"Oerlikon",11,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",9
2014,44,044,"Hard",4,2939,"Schaffhausen",1403,"Bezirk Schaffhausen",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,44,044,"Hard",4,139,"Rüschlikon",106,"Bezirk Horgen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,41,041,"Werd",4,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,24,024,"Enge",2,4289,"Zofingen",1910,"Bezirk Zofingen",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,34,034,"Sihlfeld",3,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",7
2014,21,021,"Wollishofen",2,4289,"Zofingen",1910,"Bezirk Zofingen",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,41,041,"Werd",4,2939,"Schaffhausen",1403,"Bezirk Schaffhausen",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,101,101,"Höngg",10,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,122,122,"Schwamendingen-Mitte",12,3379,"Wattwil",1727,"Wahlkreis Toggenburg",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,119,119,"Seebach",11,3379,"Wattwil",1727,"Wahlkreis Toggenburg",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,31,031,"Alt-Wiedikon",3,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",18
2014,23,023,"Leimbach",2,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,72,072,"Hottingen",7,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",31
2014,121,121,"Saatlen",12,230,"Winterthur",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",13
2014,63,063,"Oberstrass",6,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",16
2014,24,024,"Enge",2,1323,"Wollerau",503,"Bezirk Höfe",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,72,072,"Hottingen",7,1323,"Wollerau",503,"Bezirk Höfe",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,83,083,"Weinegg",8,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,24,024,"Enge",2,3203,"St. Gallen",1721,"Wahlkreis St. Gallen",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,74,074,"Witikon",7,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",23
2014,73,073,"Hirslanden",7,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",35
2014,23,023,"Leimbach",2,3203,"St. Gallen",1721,"Wahlkreis St. Gallen",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,92,092,"Altstetten",9,3379,"Wattwil",1727,"Wahlkreis Toggenburg",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,12,012,"Hochschulen",1,2939,"Schaffhausen",1403,"Bezirk Schaffhausen",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,21,021,"Wollishofen",2,3203,"St. Gallen",1721,"Wahlkreis St. Gallen",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,91,091,"Albisrieden",9,1349,"Wangen (SZ)",505,"Bezirk March",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,121,121,"Saatlen",12,4083,"Zufikon",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,83,083,"Weinegg",8,1349,"Wangen (SZ)",505,"Bezirk March",5,"Schwyz",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,101,101,"Höngg",10,4083,"Zufikon",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,101,101,"Höngg",10,4040,"Spreitenbach",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,71,071,"Fluntern",7,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",28
2014,91,091,"Albisrieden",9,4040,"Spreitenbach",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,81,081,"Seefeld",8,4040,"Spreitenbach",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,72,072,"Hottingen",7,4040,"Spreitenbach",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,44,044,"Hard",4,4083,"Zufikon",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,102,102,"Wipkingen",10,230,"Winterthur",110,"Bezirk Winterthur",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",40
2014,102,102,"Wipkingen",10,3694,"Splügen",1823,"Bezirk Hinterrhein",18,"Graubünden / Grigioni / Grischun",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,61,061,"Unterstrass",6,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",20
2014,52,052,"Escher Wyss",5,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,51,051,"Gewerbeschule",5,768,"Spiez",249,"Verwaltungskreis Frutigen-Niedersimmental",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,119,119,"Seebach",11,3023,"Speicher",1502,"Bezirk Mittelland",15,"Appenzell Ausserrhoden",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,119,119,"Seebach",11,2834,"Ziefen",1303,"Bezirk Liestal",13,"Basel-Landschaft",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,44,044,"Hard",4,161,"Zollikon",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,41,041,"Werd",4,139,"Rüschlikon",106,"Bezirk Horgen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,44,044,"Hard",4,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,122,122,"Schwamendingen-Mitte",12,2534,"Zuchwil",1106,"Bezirk Wasseramt",11,"Solothurn",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
